,Project_Name,Precision_C,Precision_S,Recall_C,Recall_S,F1 Score_C,F1 Score_S
open-source,test-feature,0.980295567,0.984771574,1,0.974874372,0.990049751,0.97979798
,code-scan-tianti,0.986238532,1,1,0.972093023,0.993071594,0.985849057
,zqyyfjzone-master-master_1021_20231130,0.994350282,0.992481203,0.992481203,0.992481203,0.993414864,0.992481203
,smp-aggregator-release_82,0.974852071,0.989441931,0.988005997,0.983508246,0.981384959,0.986466165
,core_service_unifiedapi-master_gjgs,0.888888889,0.4,1,1,0.941176471,0.571428571
,otois-task-modules-otois-master,1,1,1,1,1,1
,push_out-master,0.988315482,0.991008991,0.998033432,0.975417896,0.993150685,0.983151635
,wonotice-java-release_20231231,0.995260664,0.990049751,0.990566038,0.938679245,0.992907801,0.963680387
closed-source,apache-ant-1.8.4,0.888888889,0.935064935,0.95049505,0.727272727,0.918660287,0.818181818
,apache-jmeter-2.9,0.948979592,0.979591837,0.989361702,0.510638298,0.96875,0.671328671
,castor-1.3.1,0.969565217,0.903614458,0.991111111,0.333333333,0.98021978,0.487012987
,displaytag-1.2,0.833333333,1,0.833333333,0.583333333,0.833333333,0.736842105
,freecs-1.3.20100406,0.935897436,0.848837209,1,0.960526316,0.966887417,0.901234568
,JSPWiki-2.8.4-src,0.885714286,0.857142857,1,0.580645161,0.939393939,0.692307692
,poi-3.6,0.912863071,0.880530973,0.964912281,0.872807018,0.938166311,0.876651982
,Vuze_4812_source,0.928244275,0.899681529,0.906110283,0.842026826,0.917043741,0.869899923
,,,,,,,
C: DepCQC,,,,,,,
S: SonarQube,,,,,,,
