Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,com.ecyrd.jspwiki,JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/WikiContext.java,2,653,toString() and clone() methods should not return null,Sonar,ToStringReturningNullCheck
1,com.ecyrd.jspwiki.auth,JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/auth/SessionMonitor.java,2,273,Inappropriate Collection calls should not be made,Sonar,CollectionInappropriateCallsCheck
1,com.ecyrd.jspwiki.auth.login,JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/auth/login/CookieAssertionLoginModule.java,2,150,Cookies should be secure,Sonar,SecureCookieCheck
2,com.ecyrd.jspwiki.auth.login,JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/auth/login/CookieAssertionLoginModule.java,2,163,Cookies should be secure,Sonar,SecureCookieCheck
1,com.ecyrd.jspwiki.auth.login,JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/auth/login/CookieAuthenticationLoginModule.java,2,251,Cookies should be secure,Sonar,SecureCookieCheck
2,com.ecyrd.jspwiki.auth.login,JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/auth/login/CookieAuthenticationLoginModule.java,2,300,Cookies should be secure,Sonar,SecureCookieCheck
1,com.ecyrd.jspwiki,JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/WikiEngine.java,2,439,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
1,com.ecyrd.jspwiki.content,JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/content/Exporter.java,2,420,Exit methods should not be called,Sonar,SystemExitCalledCheck
2,com.ecyrd.jspwiki.content,JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/content/Exporter.java,2,478,Exit methods should not be called,Sonar,SystemExitCalledCheck
3,com.ecyrd.jspwiki.content,JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/content/Exporter.java,2,483,Exit methods should not be called,Sonar,SystemExitCalledCheck
4,com.ecyrd.jspwiki.content,JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/content/Exporter.java,2,501,Exit methods should not be called,Sonar,SystemExitCalledCheck
5,com.ecyrd.jspwiki.content,JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/content/Exporter.java,2,506,Exit methods should not be called,Sonar,SystemExitCalledCheck
6,com.ecyrd.jspwiki.content,JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/content/Exporter.java,2,513,Exit methods should not be called,Sonar,SystemExitCalledCheck
1,com.ecyrd.jspwiki.event,JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/event/WikiEventManager.java,2,583,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
