File_Path,Issue_Name,Line,Severity,Rule,Type
JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/dav/WikiDavProvider.java,抽象类【WikiDavProvider】命名应以Abstract或Base开头,26,严重,[p3c]Abstract class names must start with Abstract or Base.,
JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/FileUtil.java,if语句缺少大括号,80,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/FileUtil.java,if语句缺少大括号,81,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/FileUtil.java,if语句缺少大括号,157,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/FileUtil.java,if语句缺少大括号,158,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/auth/AuthenticationManager.java,Use a logger to log this exception.,197,严重,Throwable.printStackTrace(...) should not be called,
JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/auth/AuthenticationManager.java,if语句缺少大括号,216,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/auth/AuthenticationManager.java,if语句缺少大括号,623,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/auth/AuthenticationManager.java,if语句缺少大括号,626,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/auth/authorize/XMLGroupDatabase.java,"Use try-with-resources or close this ""BufferedWriter"" in a ""finally"" clause.",413,阻断,Resources should be closed,
JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/SearchMatcher.java,if语句缺少大括号,113,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/dav/DavPath.java,if语句缺少大括号,87,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/dav/DavPath.java,if语句缺少大括号,94,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
JSPWiki-2.8.4-src/src/com/ecyrd/jspwiki/dav/DavPath.java,if语句缺少大括号,172,阻断,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
