Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,com.aelitis.azureus.activities,Vuze_4812_source/com/aelitis/azureus/activities/VuzeActivitiesManager.java,1,361,Synchronization should not be based on Strings or boxed primitives,Sonar,SynchronizationOnStringOrBoxedCheck
2,com.aelitis.azureus.activities,Vuze_4812_source/com/aelitis/azureus/activities/VuzeActivitiesManager.java,1,434,Synchronization should not be based on Strings or boxed primitives,Sonar,SynchronizationOnStringOrBoxedCheck
3,com.aelitis.azureus.activities,Vuze_4812_source/com/aelitis/azureus/activities/VuzeActivitiesManager.java,1,448,Synchronization should not be based on Strings or boxed primitives,Sonar,SynchronizationOnStringOrBoxedCheck
1,com.aelitis.azureus.core.clientmessageservice.impl,Vuze_4812_source/com/aelitis/azureus/core/clientmessageservice/impl/AEClientService.java,2,190,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,com.aelitis.azureus.core.cnetwork.impl,Vuze_4812_source/com/aelitis/azureus/core/cnetwork/impl/ContentNetworkManagerImpl.java,2,407,Inappropriate Collection calls should not be made,Sonar,CollectionInappropriateCallsCheck
1,com.aelitis.azureus.core.content,Vuze_4812_source/com/aelitis/azureus/core/content/RelatedContentManager.java,1,2883,Jump statements should not occur in finally blocks,Sonar,ReturnInFinallyCheck
1,com.aelitis.azureus.core.devices.impl,Vuze_4812_source/com/aelitis/azureus/core/devices/impl/DeviceMediaRendererManual.java,2,515,Short-circuit logic should be used in boolean contexts,Sonar,NonShortCircuitLogicCheck
1,com.aelitis.azureus.core.devices.impl,Vuze_4812_source/com/aelitis/azureus/core/devices/impl/TranscodePipeFileSource.java,2,91,The value returned from a stream read should be checked,Sonar,IgnoredStreamReturnValueCheck
1,com.aelitis.azureus.core.dht.control.impl,Vuze_4812_source/com/aelitis/azureus/core/dht/control/impl/DHTControlImpl.java,2,68,public static fields should be constant,Sonar,PublicStaticFieldShouldBeFinalCheck
2,com.aelitis.azureus.core.dht.control.impl,Vuze_4812_source/com/aelitis/azureus/core/dht/control/impl/DHTControlImpl.java,2,549,Inappropriate Collection calls should not be made,Sonar,CollectionInappropriateCallsCheck
3,com.aelitis.azureus.core.dht.control.impl,Vuze_4812_source/com/aelitis/azureus/core/dht/control/impl/DHTControlImpl.java,2,563,Inappropriate Collection calls should not be made,Sonar,CollectionInappropriateCallsCheck
4,com.aelitis.azureus.core.dht.control.impl,Vuze_4812_source/com/aelitis/azureus/core/dht/control/impl/DHTControlImpl.java,2,577,Inappropriate Collection calls should not be made,Sonar,CollectionInappropriateCallsCheck
1,com.aelitis.azureus.core.dht.db.impl,Vuze_4812_source/com/aelitis/azureus/core/dht/db/impl/DHTDBImpl.java,2,82,public static fields should be constant,Sonar,PublicStaticFieldShouldBeFinalCheck
