Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.apache.tools.ant.util,apache-ant-1.8.4/src/main/org/apache/tools/ant/util/FileUtils.java,2,1578,Execution of the Garbage Collector should be triggered only by the JVM,Sonar,GarbageCollectorCalledCheck
1,org.apache.tools.ant,apache-ant-1.8.4/src/main/org/apache/tools/ant/DirectoryScanner.java,2,1341,Inappropriate Collection calls should not be made,Sonar,CollectionInappropriateCallsCheck
1,org.apache.tools.ant,apache-ant-1.8.4/src/main/org/apache/tools/ant/PropertyHelper.java,2,1170,Null should not be returned from a Boolean method,Sonar,BooleanMethodReturnCheck
2,org.apache.tools.ant.taskdefs.optional.net,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/net/FTP.java,1,1157,Jump statements should not occur in finally blocks,Sonar,ReturnInFinallyCheck
1,org.apache.tools.ant.taskdefs.optional.junit,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTask.java,1,1103,Jump statements should not occur in finally blocks,Sonar,ReturnInFinallyCheck
1,org.apache.tools.ant.taskdefs,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/Manifest.java,2,1065,toString() and clone() methods should not return null,Sonar,ToStringReturningNullCheck
2,org.apache.tools.ant.taskdefs.optional.net,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/net/FTPTaskMirrorImpl.java,1,1063,Jump statements should not occur in finally blocks,Sonar,ReturnInFinallyCheck
1,org.apache.tools.bzip2,apache-ant-1.8.4/src/main/org/apache/tools/bzip2/BlockSort.java,2,976,Equality operators should not be used in for loop termination conditions,Sonar,ForLoopTerminationConditionCheck
5,org.apache.tools.ant,apache-ant-1.8.4/src/main/org/apache/tools/ant/Main.java,1,844,Jump statements should not occur in finally blocks,Sonar,ReturnInFinallyCheck
1,org.apache.tools.ant.taskdefs.optional.ejb,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/ejb/JonasDeploymentTool.java,2,781,File.createTempFile should not be used to create a directory,Sonar,FileCreateTempFileCheck
1,org.apache.tools.ant.taskdefs.optional.net,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/net/FTP.java,1,749,Jump statements should not occur in finally blocks,Sonar,ReturnInFinallyCheck
1,org.apache.tools.ant.util,apache-ant-1.8.4/src/main/org/apache/tools/ant/util/ResourceUtils.java,1,739,read and readLine return values should be used,Sonar,UnusedReturnedDataCheck
3,org.apache.tools.bzip2,apache-ant-1.8.4/src/main/org/apache/tools/bzip2/CBZip2OutputStream.java,2,723,The Object.finalize() method should not be overriden,Sonar,ObjectFinalizeOverridenCheck
1,org.apache.tools.ant.filters,apache-ant-1.8.4/src/main/org/apache/tools/ant/filters/FixCrLfFilter.java,2,665,Switch cases should end with an unconditional break statement,Sonar,SwitchCasesWithoutBreakCheck
1,org.apache.tools.ant.taskdefs.optional.net,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/net/FTPTaskMirrorImpl.java,1,650,Jump statements should not occur in finally blocks,Sonar,ReturnInFinallyCheck
1,org.apache.tools.ant.taskdefs,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java,2,633,Values should not be uselessly incremented,Sonar,UselessIncrementCheck
1,org.apache.tools.ant,apache-ant-1.8.4/src/main/org/apache/tools/ant/UnknownElement.java,2,597,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
1,org.apache.tools.zip,apache-ant-1.8.4/src/main/org/apache/tools/zip/ZipFile.java,2,574,Invalid Date values should not be used,Sonar,InvalidDateValuesCheck
1,org.apache.tools.ant.taskdefs.optional.junit,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTestRunner.java,2,523,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
2,org.apache.tools.bzip2,apache-ant-1.8.4/src/main/org/apache/tools/bzip2/CBZip2OutputStream.java,2,478,Short-circuit logic should be used in boolean contexts,Sonar,NonShortCircuitLogicCheck
4,org.apache.tools.ant,apache-ant-1.8.4/src/main/org/apache/tools/ant/Main.java,2,477,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
3,org.apache.tools.ant,apache-ant-1.8.4/src/main/org/apache/tools/ant/Main.java,2,476,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
