Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.apache.jmeter.control,apache-jmeter-2.9/src/components/org/apache/jmeter/control/ThroughputController.java,1,179,Synchronization should not be based on Strings or boxed primitives,Sonar,SynchronizationOnStringOrBoxedCheck
2,org.apache.jmeter.control,apache-jmeter-2.9/src/components/org/apache/jmeter/control/ThroughputController.java,1,238,Synchronization should not be based on Strings or boxed primitives,Sonar,SynchronizationOnStringOrBoxedCheck
3,org.apache.jmeter.control,apache-jmeter-2.9/src/components/org/apache/jmeter/control/ThroughputController.java,1,256,Synchronization should not be based on Strings or boxed primitives,Sonar,SynchronizationOnStringOrBoxedCheck
1,org.apache.jmeter.visualizers,apache-jmeter-2.9/src/components/org/apache/jmeter/visualizers/StatGraphProperties.java,2,34,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
2,org.apache.jmeter.visualizers,apache-jmeter-2.9/src/components/org/apache/jmeter/visualizers/StatGraphProperties.java,2,36,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
1,org.apache.jmeter.assertions,apache-jmeter-2.9/src/core/org/apache/jmeter/assertions/AssertionResult.java,2,163,toString() and clone() methods should not return null,Sonar,ToStringReturningNullCheck
1,org.apache.jmeter.control,apache-jmeter-2.9/src/core/org/apache/jmeter/control/GenericController.java,2,348,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.apache.jmeter.engine.util,apache-jmeter-2.9/src/core/org/apache/jmeter/engine/util/CompoundVariable.java,2,194,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.apache.jmeter.engine,apache-jmeter-2.9/src/core/org/apache/jmeter/engine/StandardJMeterEngine.java,2,269,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
2,org.apache.jmeter.engine,apache-jmeter-2.9/src/core/org/apache/jmeter/engine/StandardJMeterEngine.java,2,281,Exit methods should not be called,Sonar,SystemExitCalledCheck
3,org.apache.jmeter.engine,apache-jmeter-2.9/src/core/org/apache/jmeter/engine/StandardJMeterEngine.java,2,421,Short-circuit logic should be used in boolean contexts,Sonar,NonShortCircuitLogicCheck
4,org.apache.jmeter.engine,apache-jmeter-2.9/src/core/org/apache/jmeter/engine/StandardJMeterEngine.java,2,548,Exit methods should not be called,Sonar,SystemExitCalledCheck
1,org.apache.jmeter.gui.action,apache-jmeter-2.9/src/core/org/apache/jmeter/gui/action/AboutCommand.java,2,89,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
1,org.apache.jmeter.gui.action,apache-jmeter-2.9/src/core/org/apache/jmeter/gui/action/ExitCommand.java,2,69,Exit methods should not be called,Sonar,SystemExitCalledCheck
2,org.apache.jmeter.gui.action,apache-jmeter-2.9/src/core/org/apache/jmeter/gui/action/ExitCommand.java,2,73,Exit methods should not be called,Sonar,SystemExitCalledCheck
3,org.apache.jmeter.gui.action,apache-jmeter-2.9/src/core/org/apache/jmeter/gui/action/ExitCommand.java,2,77,Exit methods should not be called,Sonar,SystemExitCalledCheck
1,org.apache.jmeter,apache-jmeter-2.9/src/core/org/apache/jmeter/JMeter.java,2,399,Exit methods should not be called,Sonar,SystemExitCalledCheck
2,org.apache.jmeter,apache-jmeter-2.9/src/core/org/apache/jmeter/JMeter.java,2,848,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
1,org.apache.jmeter.gui.action,apache-jmeter-2.9/src/core/org/apache/jmeter/gui/action/Help.java,2,74,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
1,org.apache.jmeter.gui,apache-jmeter-2.9/src/core/org/apache/jmeter/gui/MainFrame.java,2,802,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
1,org.apache.jmeter.gui.util,apache-jmeter-2.9/src/core/org/apache/jmeter/gui/util/TextAreaTableCellEditor.java,2,212,Make this inner class static,Sonar,InnerClassOfNonSerializableCheck
1,org.apache.jmeter.gui.util,apache-jmeter-2.9/src/core/org/apache/jmeter/gui/util/TextBoxDialoger.java,2,103,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
1,org.apache.jmeter.samplers,apache-jmeter-2.9/src/core/org/apache/jmeter/samplers/SampleResult.java,2,630,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
1,org.apache.jmeter.services,apache-jmeter-2.9/src/core/org/apache/jmeter/services/FileServer.java,1,337,read and readLine return values should be used,Sonar,UnusedReturnedDataCheck
2,org.apache.jmeter.services,apache-jmeter-2.9/src/core/org/apache/jmeter/services/FileServer.java,1,369,read and readLine return values should be used,Sonar,UnusedReturnedDataCheck
3,org.apache.jmeter.services,apache-jmeter-2.9/src/core/org/apache/jmeter/services/FileServer.java,1,384,read and readLine return values should be used,Sonar,UnusedReturnedDataCheck
1,org.apache.jmeter.testelement,apache-jmeter-2.9/src/core/org/apache/jmeter/testelement/TestPlan.java,2,134,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
1,org.apache.jmeter.threads,apache-jmeter-2.9/src/core/org/apache/jmeter/threads/TestCompiler.java,2,215,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
2,org.apache.jmeter.threads,apache-jmeter-2.9/src/core/org/apache/jmeter/threads/TestCompiler.java,2,258,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.apache.jmeter.util,apache-jmeter-2.9/src/core/org/apache/jmeter/util/JMeterTreeNodeTransferable.java,2,85,Non-serializable classes should not be written,Sonar,NonSerializableWriteCheck
1,org.apache.jmeter.util,apache-jmeter-2.9/src/core/org/apache/jmeter/util/JSR223TestElement.java,2,146,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
1,org.apache.jmeter.functions,apache-jmeter-2.9/src/functions/org/apache/jmeter/functions/SplitFunction.java,2,106,Inappropriate Collection calls should not be made,Sonar,CollectionInappropriateCallsCheck
1,org.apache.jmeter.util,apache-jmeter-2.9/src/core/org/apache/jmeter/util/JMeterUtils.java,2,1309,Execution of the Garbage Collector should be triggered only by the JVM,Sonar,GarbageCollectorCalledCheck
1,org.apache.jorphan.collections,apache-jmeter-2.9/src/jorphan/org/apache/jorphan/collections/ListedHashTree.java,2,130,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.apache.jorphan.gui,apache-jmeter-2.9/src/jorphan/org/apache/jorphan/gui/JLabeledChoice.java,2,271,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.apache.jorphan.gui,apache-jmeter-2.9/src/jorphan/org/apache/jorphan/gui/JLabeledTextField.java,2,237,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.apache.jorphan.gui,apache-jmeter-2.9/src/jorphan/org/apache/jorphan/gui/JLabeledTextArea.java,2,237,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.apache.jorphan.gui,apache-jmeter-2.9/src/jorphan/org/apache/jorphan/gui/ObjectTableModel.java,2,207,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
2,org.apache.jorphan.gui,apache-jmeter-2.9/src/jorphan/org/apache/jorphan/gui/ObjectTableModel.java,2,216,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.apache.jorphan.collections,apache-jmeter-2.9/src/jorphan/org/apache/jorphan/collections/Data.java,2,96,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
2,org.apache.jorphan.collections,apache-jmeter-2.9/src/jorphan/org/apache/jorphan/collections/Data.java,2,455,Inappropriate Collection calls should not be made,Sonar,CollectionInappropriateCallsCheck
3,org.apache.jorphan.collections,apache-jmeter-2.9/src/jorphan/org/apache/jorphan/collections/Data.java,2,456,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.apache.jmeter.visualizers,apache-jmeter-2.9/src/monitor/components/org/apache/jmeter/visualizers/MonitorAccumModel.java,2,227,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.apache.jmeter.protocol.http.control,apache-jmeter-2.9/src/protocol/http/org/apache/jmeter/protocol/http/control/HC3CookieHandler.java,2,83,Cookies should be secure,Sonar,SecureCookieCheck
2,org.apache.jmeter.protocol.http.control,apache-jmeter-2.9/src/protocol/http/org/apache/jmeter/protocol/http/control/HC3CookieHandler.java,2,167,Cookies should be secure,Sonar,SecureCookieCheck
1,org.apache.jmeter.protocol.http.control,apache-jmeter-2.9/src/protocol/http/org/apache/jmeter/protocol/http/control/HC4CookieHandler.java,2,108,Cookies should be secure,Sonar,SecureCookieCheck
2,org.apache.jmeter.protocol.http.control,apache-jmeter-2.9/src/protocol/http/org/apache/jmeter/protocol/http/control/HC4CookieHandler.java,2,170,Cookies should be secure,Sonar,SecureCookieCheck
