File_Path,Issue_Name,Line,Severity,Rule,Type
apache-jmeter-2.9/src/components/org/apache/jmeter/control/IncludeController.java,常量【prefix】命名应全部大写并以下划线分隔,47,严重,[p3c]Constant variable names should be written in upper characters separated by underscores.,
apache-jmeter-2.9/src/components/org/apache/jmeter/assertions/gui/HTMLAssertionGui.java,【fieldNamefieldName】应该作为equals的参数，而不是调用方,342,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/components/org/apache/jmeter/assertions/gui/HTMLAssertionGui.java,【fieldNamefieldName】应该作为equals的参数，而不是调用方,346,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/components/org/apache/jmeter/timers/JSR223Timer.java,"Add a ""clone()"" method to this class.",31,严重,"""Cloneables"" should implement ""clone""",
apache-jmeter-2.9/src/components/org/apache/jmeter/assertions/BSFAssertion.java,"Add a ""clone()"" method to this class.",29,严重,"""Cloneables"" should implement ""clone""",
apache-jmeter-2.9/src/components/org/apache/jmeter/extractor/JSR223PostProcessor.java,"Add a ""clone()"" method to this class.",32,严重,"""Cloneables"" should implement ""clone""",
apache-jmeter-2.9/src/components/org/apache/jmeter/extractor/BeanShellPostProcessor.java,"Add a ""clone()"" method to this class.",32,严重,"""Cloneables"" should implement ""clone""",
apache-jmeter-2.9/src/components/org/apache/jmeter/modifiers/BSFPreProcessor.java,"Add a ""clone()"" method to this class.",29,严重,"""Cloneables"" should implement ""clone""",
apache-jmeter-2.9/src/components/org/apache/jmeter/control/ThroughputController.java,"Synchronize on a new ""Object"" instead.",179,阻断,Synchronization should not be based on Strings or boxed primitives,BUG
apache-jmeter-2.9/src/components/org/apache/jmeter/control/ThroughputController.java,"Synchronize on a new ""Object"" instead.",238,阻断,Synchronization should not be based on Strings or boxed primitives,BUG
apache-jmeter-2.9/src/components/org/apache/jmeter/control/ThroughputController.java,"Synchronize on a new ""Object"" instead.",256,阻断,Synchronization should not be based on Strings or boxed primitives,BUG
apache-jmeter-2.9/src/components/org/apache/jmeter/timers/BSFTimer.java,"Add a ""clone()"" method to this class.",28,严重,"""Cloneables"" should implement ""clone""",
apache-jmeter-2.9/src/components/org/apache/jmeter/reporters/MailerModel.java,枚举【MailAuthType】的字段缺少注释信息,51,严重,[p3c]All enumeration type fields should be commented as Javadoc style.,
apache-jmeter-2.9/src/components/org/apache/jmeter/modifiers/CounterConfig.java,ThreadLocal字段【perTheadNumber】应该至少调用一次remove()方法。,64,严重,[p3c]type 'ThreadLocal' must call remove() method at least one times.,
apache-jmeter-2.9/src/components/org/apache/jmeter/modifiers/CounterConfig.java,ThreadLocal字段【perTheadLastIterationNumber】应该至少调用一次remove()方法。,67,严重,[p3c]type 'ThreadLocal' must call remove() method at least one times.,
apache-jmeter-2.9/src/components/org/apache/jmeter/assertions/JSR223Assertion.java,"Add a ""clone()"" method to this class.",33,严重,"""Cloneables"" should implement ""clone""",
apache-jmeter-2.9/src/components/org/apache/jmeter/modifiers/JSR223PreProcessor.java,"Add a ""clone()"" method to this class.",32,严重,"""Cloneables"" should implement ""clone""",
apache-jmeter-2.9/src/components/org/apache/jmeter/modifiers/BeanShellPreProcessor.java,"Add a ""clone()"" method to this class.",32,严重,"""Cloneables"" should implement ""clone""",
apache-jmeter-2.9/src/components/org/apache/jmeter/config/RandomVariableConfig.java,ThreadLocal字段【perThreadRandom】应该至少调用一次remove()方法。,64,严重,[p3c]type 'ThreadLocal' must call remove() method at least one times.,
apache-jmeter-2.9/src/components/org/apache/jmeter/assertions/XMLAssertion.java,常量【myBuilder】命名应全部大写并以下划线分隔,45,严重,[p3c]Constant variable names should be written in upper characters separated by underscores.,
apache-jmeter-2.9/src/components/org/apache/jmeter/timers/BeanShellTimer.java,"Add a ""clone()"" method to this class.",28,严重,"""Cloneables"" should implement ""clone""",
apache-jmeter-2.9/src/components/org/apache/jmeter/timers/RandomTimer.java,抽象类【RandomTimer】命名应以Abstract或Base开头,33,严重,[p3c]Abstract class names must start with Abstract or Base.,
apache-jmeter-2.9/src/components/org/apache/jmeter/timers/ConstantThroughputTimerBeanInfo.java,常量【tags】命名应全部大写并以下划线分隔,31,严重,[p3c]Constant variable names should be written in upper characters separated by underscores.,
apache-jmeter-2.9/src/components/org/apache/jmeter/extractor/BSFPostProcessor.java,"Add a ""clone()"" method to this class.",29,严重,"""Cloneables"" should implement ""clone""",
apache-jmeter-2.9/src/components/org/apache/jmeter/timers/ConstantThroughputTimer.java,常量【allThreadsInfo】命名应全部大写并以下划线分隔,70,严重,[p3c]Constant variable names should be written in upper characters separated by underscores.,
apache-jmeter-2.9/src/components/org/apache/jmeter/timers/ConstantThroughputTimer.java,常量【threadGroupsInfoMap】命名应全部大写并以下划线分隔,73,严重,[p3c]Constant variable names should be written in upper characters separated by underscores.,
apache-jmeter-2.9/src/components/org/apache/jmeter/assertions/MD5HexAssertion.java,【getAllowedMD5HexgetAllowedMD5Hex()】应该作为equals的参数，而不是调用方,68,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/components/org/apache/jmeter/config/CSVDataSet.java,【delimdelim】应该作为equals的参数，而不是调用方,106,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/components/org/apache/jmeter/config/CSVDataSet.java,【_fileName】命名不能以_或$开始,113,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
apache-jmeter-2.9/src/components/org/apache/jmeter/visualizers/SamplerResultTab.java,抽象类【SamplerResultTab】命名应以Abstract或Base开头,65,严重,[p3c]Abstract class names must start with Abstract or Base.,
apache-jmeter-2.9/src/core/org/apache/jmeter/config/gui/RowDetailDialog.java,【actionaction】应该作为equals的参数，而不是调用方,183,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/core/org/apache/jmeter/config/gui/RowDetailDialog.java,【actionaction】应该作为equals的参数，而不是调用方,186,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/core/org/apache/jmeter/config/gui/RowDetailDialog.java,【actionaction】应该作为equals的参数，而不是调用方,192,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/core/org/apache/jmeter/config/gui/RowDetailDialog.java,【actionaction】应该作为equals的参数，而不是调用方,198,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/core/org/apache/jmeter/config/gui/ArgumentsPanel.java,【actionaction】应该作为equals的参数，而不是调用方,340,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/core/org/apache/jmeter/config/gui/ArgumentsPanel.java,【actionaction】应该作为equals的参数，而不是调用方,342,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/core/org/apache/jmeter/config/gui/ArgumentsPanel.java,【actionaction】应该作为equals的参数，而不是调用方,344,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/core/org/apache/jmeter/config/gui/ArgumentsPanel.java,【actionaction】应该作为equals的参数，而不是调用方,346,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/core/org/apache/jmeter/config/gui/ArgumentsPanel.java,【actionaction】应该作为equals的参数，而不是调用方,348,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/core/org/apache/jmeter/config/gui/ArgumentsPanel.java,【actionaction】应该作为equals的参数，而不是调用方,350,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/core/org/apache/jmeter/config/gui/ArgumentsPanel.java,【_table】命名不能以_或$开始,576,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
apache-jmeter-2.9/src/core/org/apache/jmeter/config/gui/SimpleConfigGui.java,【actionaction】应该作为equals的参数，而不是调用方,188,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/core/org/apache/jmeter/config/gui/SimpleConfigGui.java,【actionaction】应该作为equals的参数，而不是调用方,190,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
apache-jmeter-2.9/src/components/org/apache/jmeter/visualizers/JSR223Listener.java,"Add a ""clone()"" method to this class.",35,严重,"""Cloneables"" should implement ""clone""",
apache-jmeter-2.9/src/components/org/apache/jmeter/visualizers/BeanShellListener.java,"Add a ""clone()"" method to this class.",32,严重,"""Cloneables"" should implement ""clone""",
apache-jmeter-2.9/src/core/org/apache/jmeter/JMeter.java,"Remove this call to ""exit"" or ensure it is really required.",399,严重,Exit methods should not be called,CODE_SMELL
apache-jmeter-2.9/src/core/org/apache/jmeter/JMeter.java,Catch Exception instead of Throwable.,396,阻断,Throwable and Error should not be caught,
apache-jmeter-2.9/src/core/org/apache/jmeter/JMeter.java,常量【options】命名应全部大写并以下划线分隔,154,严重,[p3c]Constant variable names should be written in upper characters separated by underscores.,
apache-jmeter-2.9/src/core/org/apache/jmeter/JMeter.java,【itemitem.getClass().getName()】应该作为equals的参数，而不是调用方,848,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
