Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.castor.core.util,castor-1.3.1/core/src/main/java/org/castor/core/util/AbstractProperties.java,2,379,Null should not be returned from a Boolean method,Sonar,BooleanMethodReturnCheck
1,org.exolab.castor.util,castor-1.3.1/xml/src/main/java/org/exolab/castor/util/ReflectionUtil.java,2,40,Null should not be returned from a Boolean method,Sonar,BooleanMethodReturnCheck
1,org.exolab.castor.xml.validators,castor-1.3.1/xml/src/main/java/org/exolab/castor/xml/validators/BooleanValidator.java,2,90,Null should not be returned from a Boolean method,Sonar,BooleanMethodReturnCheck
1,org.exolab.castor.jdo.engine,castor-1.3.1/cpa/src/main/java/org/exolab/castor/jdo/engine/JDOMappingLoader.java,2,722,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
2,org.exolab.castor.jdo.engine,castor-1.3.1/cpa/src/main/java/org/exolab/castor/jdo/engine/JDOMappingLoader.java,2,727,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
1,org.exolab.castor.xml,castor-1.3.1/xml/src/main/java/org/exolab/castor/xml/MarshalFramework.java,2,299,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
1,org.exolab.castor.xml,castor-1.3.1/xml/src/main/java/org/exolab/castor/xml/Introspector.java,2,1216,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
2,org.exolab.castor.xml,castor-1.3.1/xml/src/main/java/org/exolab/castor/xml/Marshaller.java,2,1512,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
1,org.exolab.castor.xml,castor-1.3.1/xml/src/main/java/org/exolab/castor/xml/UnmarshalHandler.java,2,1669,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
2,org.exolab.castor.xml,castor-1.3.1/xml/src/main/java/org/exolab/castor/xml/UnmarshalHandler.java,2,2176,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
3,org.exolab.castor.xml,castor-1.3.1/xml/src/main/java/org/exolab/castor/xml/UnmarshalHandler.java,2,3826,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
1,org.castor.core.nature,castor-1.3.1/core/src/test/java/org/castor/core/nature/PropertyHolderTest.java,2,58,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.exolab.castor.xml.util.resolvers,castor-1.3.1/xml/src/main/java/org/exolab/castor/xml/util/resolvers/ByCDR.java,2,96,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.exolab.castor.xml.util,castor-1.3.1/xml/src/main/java/org/exolab/castor/xml/util/XMLClassDescriptorResolverImpl.java,2,542,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
2,org.exolab.castor.xml.util,castor-1.3.1/xml/src/main/java/org/exolab/castor/xml/util/XMLClassDescriptorResolverImpl.java,2,563,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
3,org.exolab.castor.xml.util,castor-1.3.1/xml/src/main/java/org/exolab/castor/xml/util/XMLClassDescriptorResolverImpl.java,2,630,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.exolab.castor.xml.util.resolvers,castor-1.3.1/xml/src/main/java/org/exolab/castor/xml/util/resolvers/ByPackageMapping.java,2,102,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.exolab.castor.xml,castor-1.3.1/xml/src/main/java/org/exolab/castor/xml/Marshaller.java,2,1075,Collection methods with O(n) performance should be used carefully,Sonar,CollectionMethodsWithLinearComplexityCheck
1,org.castor.xmlctf.bestpractise.genpackage.types,castor-1.3.1/xmlctf/src/test/java/org/castor/xmlctf/bestpractise/genpackage/types/AssignmentRole.java,2,126,Custom serialization method signatures should meet requirements,Sonar,CustomSerializationMethodCheck
1,org.castor.cpa.persistence.sql.driver,castor-1.3.1/cpa/src/main/java/org/castor/cpa/persistence/sql/driver/JDBCQueryExpression.java,1,486,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.exolab.castor.persist,castor-1.3.1/cpa/src/main/java/org/exolab/castor/persist/OID.java,1,237,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.castor.cpa.test.test88,castor-1.3.1/cpactf/src/test/java/org/castor/cpa/test/test88/LazyNToNA.java,1,41,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.castor.cpa.test.test88,castor-1.3.1/cpactf/src/test/java/org/castor/cpa/test/test88/LazyNToNB.java,1,35,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.castor.xmlctf.bestpractise.withmapping,castor-1.3.1/xmlctf/src/test/java/org/castor/xmlctf/bestpractise/withmapping/NodeList.java,1,23,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.castor.xmlctf.bestpractise.withmapping,castor-1.3.1/xmlctf/src/test/java/org/castor/xmlctf/bestpractise/withmapping/Node.java,1,35,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,,castor-1.3.1/xmlctf/tests/MasterTestSuite/mapping/identities/identity-references/Node.java,1,33,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,,castor-1.3.1/xmlctf/tests/MasterTestSuite/mapping/identities/identity-references/NodeList.java,1,21,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.exolab.castor.xml.dtd.parser,castor-1.3.1/schema/src/main/java/org/exolab/castor/xml/dtd/parser/DTDParser.java,3,2303,Loop conditions should be true at least once,Sonar,ForLoopFalseConditionCheck
2,org.exolab.castor.xml.dtd.parser,castor-1.3.1/schema/src/main/java/org/exolab/castor/xml/dtd/parser/DTDParser.java,3,2311,Loop conditions should be true at least once,Sonar,ForLoopFalseConditionCheck
3,org.exolab.castor.xml.dtd.parser,castor-1.3.1/schema/src/main/java/org/exolab/castor/xml/dtd/parser/DTDParser.java,3,2319,Loop conditions should be true at least once,Sonar,ForLoopFalseConditionCheck
4,org.exolab.castor.xml.dtd.parser,castor-1.3.1/schema/src/main/java/org/exolab/castor/xml/dtd/parser/DTDParser.java,3,2327,Loop conditions should be true at least once,Sonar,ForLoopFalseConditionCheck
5,org.exolab.castor.xml.dtd.parser,castor-1.3.1/schema/src/main/java/org/exolab/castor/xml/dtd/parser/DTDParser.java,3,2433,Loop conditions should be true at least once,Sonar,ForLoopFalseConditionCheck
1,org.castor.cache.hashbelt.container,castor-1.3.1/cpa/src/test/java/org/castor/cache/hashbelt/container/TestWeakReferenceContainer.java,2,316,Execution of the Garbage Collector should be triggered only by the JVM,Sonar,GarbageCollectorCalledCheck
2,org.castor.cache.hashbelt.container,castor-1.3.1/cpa/src/test/java/org/castor/cache/hashbelt/container/TestWeakReferenceContainer.java,2,318,Execution of the Garbage Collector should be triggered only by the JVM,Sonar,GarbageCollectorCalledCheck
1,org.exolab.castor.types,castor-1.3.1/xml/src/main/java/org/exolab/castor/types/RecurringDurationBase.java,2,499,Identical expressions should not be used on both sides of a binary operator,Sonar,IdenticalOperandOnBinaryExpressionCheck
1,org.exolab.castor.types,castor-1.3.1/xml/src/main/java/org/exolab/castor/types/RecurringDuration.java,2,727,Identical expressions should not be used on both sides of a binary operator,Sonar,IdenticalOperandOnBinaryExpressionCheck
2,org.castor.cpa.test.test203,castor-1.3.1/cpactf/src/test/java/org/castor/cpa/test/test203/TestTimezone.java,2,84,Invalid Date values should not be used,Sonar,InvalidDateValuesCheck
3,org.castor.cpa.test.test203,castor-1.3.1/cpactf/src/test/java/org/castor/cpa/test/test203/TestTimezone.java,2,85,Invalid Date values should not be used,Sonar,InvalidDateValuesCheck
4,org.castor.cpa.test.test203,castor-1.3.1/cpactf/src/test/java/org/castor/cpa/test/test203/TestTimezone.java,2,86,Invalid Date values should not be used,Sonar,InvalidDateValuesCheck
1,,castor-1.3.1/xmlctf/tests/MasterTestSuite/mapping/GSC_Regression/Testable.java,2,54,Multiline blocks should be enclosed in curly braces,Sonar,MultilineBlocksCurlyBracesCheck
2,,castor-1.3.1/xmlctf/tests/MasterTestSuite/mapping/GSC_Regression/Testable.java,2,60,Multiline blocks should be enclosed in curly braces,Sonar,MultilineBlocksCurlyBracesCheck
1,org.castor.persist.resolver,castor-1.3.1/cpa/src/main/java/org/castor/persist/resolver/SerializableResolver.java,2,88,Non-serializable classes should not be written,Sonar,NonSerializableWriteCheck
2,org.castor.persist.resolver,castor-1.3.1/cpa/src/main/java/org/castor/persist/resolver/SerializableResolver.java,2,170,Non-serializable classes should not be written,Sonar,NonSerializableWriteCheck
3,org.castor.persist.resolver,castor-1.3.1/cpa/src/main/java/org/castor/persist/resolver/SerializableResolver.java,2,204,Non-serializable classes should not be written,Sonar,NonSerializableWriteCheck
1,org.castor.cpa.test.test90,castor-1.3.1/cpactf/src/test/java/org/castor/cpa/test/test90/TestLazy1to1.java,2,146,Non-serializable classes should not be written,Sonar,NonSerializableWriteCheck
2,org.castor.cpa.test.test90,castor-1.3.1/cpactf/src/test/java/org/castor/cpa/test/test90/TestLazy1to1.java,2,169,Non-serializable classes should not be written,Sonar,NonSerializableWriteCheck
1,org.exolab.castor.builder.factory,castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/factory/XMLFieldHandlerFactory.java,2,217,Short-circuit logic should be used in boolean contexts,Sonar,NonShortCircuitLogicCheck
1,org.exolab.castor.jdo.engine,castor-1.3.1/cpa/src/main/java/org/exolab/castor/jdo/engine/GlobalDatabaseImpl.java,2,121,The Object.finalize() method should not be overriden,Sonar,ObjectFinalizeOverridenCheck
1,org.exolab.castor.jdo.engine,castor-1.3.1/cpa/src/main/java/org/exolab/castor/jdo/engine/LocalDatabaseImpl.java,2,111,The Object.finalize() method should not be overriden,Sonar,ObjectFinalizeOverridenCheck
1,org.exolab.castor.jdo.engine,castor-1.3.1/cpa/src/main/java/org/exolab/castor/jdo/engine/SimpleQueryExecutor.java,2,262,The Object.finalize() method should not be overriden,Sonar,ObjectFinalizeOverridenCheck
1,log4j,castor-1.3.1/examples/src/main/java/log4j/CastorAppender.java,2,165,The Object.finalize() method should not be overriden,Sonar,ObjectFinalizeOverridenCheck
1,org.castor.cpa.test.test04,castor-1.3.1/cpactf/src/test/java/org/castor/cpa/test/test04/TestDeadlock.java,2,54,public static fields should be constant,Sonar,PublicStaticFieldShouldBeFinalCheck
2,org.castor.cpa.test.test04,castor-1.3.1/cpactf/src/test/java/org/castor/cpa/test/test04/TestDeadlock.java,2,57,public static fields should be constant,Sonar,PublicStaticFieldShouldBeFinalCheck
3,org.castor.cpa.test.test04,castor-1.3.1/cpactf/src/test/java/org/castor/cpa/test/test04/TestDeadlock.java,2,71,public static fields should be constant,Sonar,PublicStaticFieldShouldBeFinalCheck
1,org.exolab.castor.xml.schema,castor-1.3.1/schema/src/main/java/org/exolab/castor/xml/schema/Particle.java,2,84,public static fields should be constant,Sonar,PublicStaticFieldShouldBeFinalCheck
1,org.castor.xml,castor-1.3.1/xml/src/main/java/org/castor/xml/JavaNamingImpl.java,2,80,public static fields should be constant,Sonar,PublicStaticFieldShouldBeFinalCheck
