Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,freecs.auth,freecs-1.3.20100406/src/freecs/auth/SQLAuthenticator.java,2,33,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
2,freecs.auth,freecs-1.3.20100406/src/freecs/auth/SQLAuthenticator.java,2,33,public static fields should be constant,Sonar,PublicStaticFieldShouldBeFinalCheck
3,freecs.auth,freecs-1.3.20100406/src/freecs/auth/SQLAuthenticator.java,2,52,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
1,freecs.auth.sqlConnectionPool,freecs-1.3.20100406/src/freecs/auth/sqlConnectionPool/ConnectionPool.java,2,127,Switch cases should end with an unconditional break statement,Sonar,SwitchCasesWithoutBreakCheck
2,freecs.auth.sqlConnectionPool,freecs-1.3.20100406/src/freecs/auth/sqlConnectionPool/ConnectionPool.java,2,144,The Object.finalize() method should not be overriden,Sonar,ObjectFinalizeOverridenCheck
1,freecs.auth.sqlConnectionPool,freecs-1.3.20100406/src/freecs/auth/sqlConnectionPool/DbProperties.java,2,223,The Object.finalize() method should not be overriden,Sonar,ObjectFinalizeOverridenCheck
1,freecs.auth,freecs-1.3.20100406/src/freecs/auth/AuthManager.java,2,32,public static fields should be constant,Sonar,PublicStaticFieldShouldBeFinalCheck
1,freecs.auth.sqlConnectionPool,freecs-1.3.20100406/src/freecs/auth/sqlConnectionPool/PoolElement.java,2,235,Executing SQL queries is security-sensitive,Sonar,SQLInjectionCheck
2,freecs.auth.sqlConnectionPool,freecs-1.3.20100406/src/freecs/auth/sqlConnectionPool/PoolElement.java,2,237,Executing SQL queries is security-sensitive,Sonar,SQLInjectionCheck
3,freecs.auth.sqlConnectionPool,freecs-1.3.20100406/src/freecs/auth/sqlConnectionPool/PoolElement.java,2,308,ResultSet.isLast() should not be used,Sonar,ResultSetIsLastCheck
4,freecs.auth.sqlConnectionPool,freecs-1.3.20100406/src/freecs/auth/sqlConnectionPool/PoolElement.java,2,357,ResultSet.isLast() should not be used,Sonar,ResultSetIsLastCheck
5,freecs.auth.sqlConnectionPool,freecs-1.3.20100406/src/freecs/auth/sqlConnectionPool/PoolElement.java,2,722,The Object.finalize() method should not be overriden,Sonar,ObjectFinalizeOverridenCheck
1,freecs.content,freecs-1.3.20100406/src/freecs/content/BanObject.java,2,66,The Object.finalize() method should not be overriden,Sonar,ObjectFinalizeOverridenCheck
1,freecs.content,freecs-1.3.20100406/src/freecs/content/PersonalizedMessage.java,2,55,The Object.finalize() method should not be overriden,Sonar,ObjectFinalizeOverridenCheck
1,freecs.content,freecs-1.3.20100406/src/freecs/content/MessageState.java,2,90,The Object.finalize() method should not be overriden,Sonar,ObjectFinalizeOverridenCheck
1,freecs.content,freecs-1.3.20100406/src/freecs/content/Connection.java,2,158,The Object.finalize() method should not be overriden,Sonar,ObjectFinalizeOverridenCheck
