Name,Macro-BenchmarkB,our,FN,FP,TP,sonar,FN,FP,TP
test-feature,199,203,0,4,199,197,5,3,194
code-scan-tianti,215,218,0,3,215,209,6,0,209
zqyyfjzone-master-master_1021_20231130,532,531,4,3,528,532,4,4,528
smp-aggregator-release_82,667,676,8,17,659,663,11,7,656
core_service_unifiedapi-master_gjgs,16,18,0,2,16,40,0,24,16
otois-task-modules-otois-master,27,27,0,0,27,27,0,0,27
push_out-master,1017,1027,2,12,1015,1001,25,9,992
wonotice-java-release_20231231,212,211,2,1,210,201,13,2,199
,,,,,,,,,
Name,Macro-BenchmarkC,our,FN,FP,TP,sonar,FN,FP,TP
apache-ant-1.8.4,99,106,5,12,96,77,27,5,72
apache-jmeter-2.9,95,98,1,5,93,49,46,1,48
castor-1.3.1,225,230,2,7,223,83,150,8,75
displaytag-1.2,12,12,2,2,10,7,5,0,7
freecs-1.3.20100406,73,78,0,5,73,83,3,13,73
JSPWiki-2.8.4-src,31,35,0,4,31,21,13,3,18
poi-3.6,228,241,8,21,220,226,29,27,199
Vuze_4812_source,671,655,63,47,608,628,106,63,565
