rule_type,rule_key,DepCQC,rule
bug,S2676,AbsOnNegativeCheck,"Neither ""Math.abs"" nor negation should be used on numbers that could be ""MIN_VALUE"""
bug,S2116,ArrayHashCodeAndToStringCheck,"""hashCode"" and ""toString"" should not be called on array instances"
bug,S2061,CustomSerializationMethodCheck,Custom serialization method signatures should meet requirements
bug,S2204,EqualsOnAtomicClassCheck,""".equals()"" should not be used to test the values of ""Atomic"" classes"
bug,S2066,InnerClassOfNonSerializableCheck,"""Serializable"" inner classes of non-serializable classes should be ""static"""
bug,S2110,InvalidDateValuesCheck,"Invalid ""Date"" values should not be used"
bug,S2127,LongBitsToDoubleOnIntCheck,"""Double.longBitsToDouble"" should not be used for ""int"""
bug,S1201,MethodNamedEqualsCheck,"""equals"" method overrides should accept ""Object"" parameters"
bug,S2118,NonSerializableWriteCheck,Non-serializable classes should not be written
bug,S2154,PrimitiveWrappersInTernaryOperatorCheck,Dissimilar primitive wrappers should not be used with the ternary operator without explicit casting
bug,S2275,PrintfFailCheck,Printf-style format strings should not lead to unexpected behavior at runtime
bug,S2122,ScheduledThreadPoolExecutorZeroCheck,"""ScheduledThreadPoolExecutor"" should not have 0 core threads"
bug,S2441,SerializableObjectInSessionCheck,"Non-serializable objects should not be stored in ""HttpSession"" objects"
bug,S2055,SerializableSuperConstructorCheck,"The non-serializable super class of a ""Serializable"" class should have a no-argument constructor"
bug,S2885,StaticMultithreadedUnsafeFieldsCheck,Non-thread-safe fields should not be static
bug,S2276,ThreadSleepCheck,"""wait(...)"" should be used instead of ""Thread.sleep(...)"" when a lock is held"
bug,S2236,ThreadWaitCallCheck,"Methods ""wait(...)"", ""notify()"" and ""notifyAll()"" should not be called on Thread instances"
bug,S2225,ToStringReturningNullCheck,"""toString()"" and ""clone()"" methods should not return null"
bug,S2230,TransactionalMethodVisibilityCheck,"Non-public methods should not be ""@Transactional"""
bug,S2273,WaitInSynchronizeCheck,"""wait"", ""notify"" and ""notifyAll"" should only be called when a lock is obviously held on an object"
CODE_SMELL,S2447,BooleanMethodReturnCheck,"Null should not be returned from a ""Boolean"" method"
CODE_SMELL,S2235,CatchIllegalMonitorStateExceptionCheck,IllegalMonitorStateException should not be caught
CODE_SMELL,S1215,GarbageCollectorCalledCheck,Execution of the Garbage Collector should be triggered only by the JVM
CODE_SMELL,S1113,ObjectFinalizeOverridenCheck,The Object.finalize() method should not be overriden
CODE_SMELL,S2232,ResultSetIsLastCheck,"""ResultSet.isLast()"" should not be used"
CODE_SMELL,S1147,SystemExitCalledCheck,Exit methods should not be called
CODE_SMELL,S2274,WaitInWhileLoopCheck,"""Object.wait(...)"" and ""Condition.await(...)"" should be called inside a ""while"" loop"
CODE_SMELL,S1844,WaitOnConditionCheck,"""Object.wait(...)"" should never be called on objects that implement ""java.util.concurrent.locks.Condition"""
vulnerability,S2976,FileCreateTempFileCheck,"""File.createTempFile"" should not be used to create a directory"
vulnerability,S2254,GetRequestedSessionIdCheck,"""HttpServletRequest.getRequestedSessionId()"" should not be used"
vulnerability,S1444,PublicStaticFieldShouldBeFinalCheck,"""public static"" fields should be constant"
vulnerability,S2092,SecureCookieCheck,"Cookies should be ""secure"""
BUG,S2114,CollectionCallingItselfCheck,Collections should not be passed as arguments to their own methods
BUG,S2167,CompareToReturnValueCheck,"""compareTo"" should not return ""Integer.MIN_VALUE"""
BUG,S2097,EqualsArgumentTypeCheck,"""equals(Object obj)"" should test argument type"
BUG,S1764,IdenticalOperandOnBinaryExpressionCheck,Identical expressions should not be used on both sides of a binary operator
BUG,S2222,LocksNotUnlockedCheck,Locks should be released
BUG,S1143,ReturnInFinallyCheck,"Jump statements should not occur in ""finally"" blocks"
BUG,S1860,SynchronizationOnStringOrBoxedCheck,Synchronization should not be based on Strings or boxed primitives
BUG,S1217,ThreadRunCheck,"""Thread.run()"" should not be called directly"
BUG,S2123,UselessIncrementCheck,Values should not be uselessly incremented
